code,name,type,sido,sigungu,address,phone,lng,lat
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,(VOM)봄안과의원,의원,대구,대구동구,"대구광역시 동구 안심로 58, 3층 (율하동, 율하메디빌)",053-963-9991,128.6918945,35.8698515
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNTEjJDEjJDYjJDgz,(복지)예사랑병원,정신병원,부산,부산서구,"부산광역시 서구 옥천로130번길 38, (아미동2가)",248-9000,129.0133103,35.0973247
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사) 경찰공제회 포항의원,의원,경북,포항남구,"경상북도 포항시 남구 오천읍 냉천로 656, (오천읍)",292-6788,129.3928992,35.9422573
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQxMyQzNjE4MzIjNzEjJDEjJDgjJDgz,(사)경찰공제회 강서적성의원,의원,서울,강서구,"서울특별시 강서구 남부순환로 171, 강서운전면허시험장만남의광장 적성검사소호 (외발산동)",1577-1120,126.8219847,37.5494984
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,(사)경찰공제회남부의원,의원,인천,인천남동구,"인천광역시 남동구 아암대로 1247, (고잔동)",032-811-2500,126.7088609,37.3849097
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,(사)대한산업보건협회 남부산의원,의원,부산,부산강서구,"부산광역시 강서구 명지국제6로1번길 30, A동 3층 (명지동)",051-710-6888,128.9001499,35.0947002
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,(사)대한산업보건협회 부설 한마음의원,의원,경기,군포시,"경기도 군포시 산본로48번길 8, 3층 (당정동)",02-586-2415,126.9599347,37.3572562
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사)대한산업보건협회 전북지역본부 전북의원,의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 기린대로 1030, (여의동)",063-225-1242,127.0738726,35.8683951
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,(사)대한산업보건협회부설경북의원,의원,경북,경산시,"경상북도 경산시 진량읍 공단1로 28, (진량읍)",053-856-1211,128.8219741,35.8734517
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,(사)대한신장복지회 대신의원,의원,충북,청주청원구,"충청북도 청주시 청원구 충청대로 93, 1층, 2층 (율량동)",043-224-0825,127.4928855,36.6648232
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz,(사)모퉁이복지재단 인천재활의원,의원,인천,인천미추홀구,"인천광역시 미추홀구 인주대로 290, (주안동)",032-861-0102,126.6686433,37.4518788
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,(사)인구보건복지협회 가족보건의원,의원,대구,대구서구,"대구광역시 서구 국채보상로46길 16, (평리동)",053-566-1903,128.5558143,35.8690138
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(사)인구보건복지협회 부산시지회 가족보건의원,의원,부산,부산수영구,"부산광역시 수영구 수영로 425, (남천동)",051-624-5583,129.1089758,35.1441223
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,(사)인구보건복지협회 서울지회 가족보건의원,의원,서울,광진구,"서울특별시 광진구 긴고랑로13길 62, 1층, 2층 (중곡동)",02-467-8913,127.0832305,37.5650801
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(사)인구보건복지협회 충북세종지회 가족보건의원,의원,충북,청주흥덕구,"충청북도 청주시 흥덕구 내수동로 20, (복대동, 모자보건센타)",043-270-5931,127.4495123,36.6329595
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,(사)인구보건복지협회경기도지회가족보건의원,의원,경기,수원팔달구,"경기도 수원시 팔달구 고화로14번길 11, (매산로3가)",031-256-5920,127.0082208,37.2712361
